d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,area
0,35005,NM,Chaves County,5,13974,315194
1,13297,GA,Walton County,1,11385,153909
2,13137,GA,Habersham County,6,6500,153909
3,54017,WV,Doddridge County,9,1460,62755
4,55055,WI,Jefferson County,4,7618,169640
5,38065,ND,Oliver County,8,191,183108
6,13059,GA,Clarke County,3,31950,153909
7,36023,NY,Cortland County,4,7230,141300
8,21109,KY,Jackson County,9,4213,104659
9,54003,WV,Berkeley County,3,14461,62755
10,22079,LA,Rapides Parish,3,25575,1302.15171
11,20037,KS,Crawford County,4,8318,213100
12,5145,AR,White County,4,11843,137733
13,5057,AR,Hempstead County,6,4483,137733
14,20117,KS,Marshall County,7,995,213100
15,37083,NC,Halifax County,4,13595,139390
16,51037,VA,Charlotte County,8,2488,110862
17,41065,OR,Wasco County,6,3624,255026
18,29067,MO,Douglas County,6,2607,181533
19,16045,ID,Gem County,2,3042,216699
20,38055,ND,McLean County,8,880,183108
21,28075,MS,Lauderdale County,5,17531,125443
22,4021,AZ,Pinal County,1,60679,295234
23,45013,SC,Beaufort County,5,18326,82931
24,47043,TN,Dickson County,1,6973,109247
25,47079,TN,Henry County,7,6187,109247
26,6023,CA,Humboldt County,5,26632,423970
27,1035,AL,Conecuh County,9,3464,135765
28,51640,VA,Galax city,6,1327,110862
29,39175,OH,Wyandot County,7,1881,116096
30,55073,WI,Marathon County,3,13941,169640
31,42065,PA,Jefferson County,7,5743,119283
32,12035,FL,Flagler County,4,11997,170304
33,12015,FL,Charlotte County,3,22087,170304
34,25019,MA,Nantucket County,7,697,27336
35,21231,KY,Wayne County,7,5390,104659
36,13055,GA,Chattooga County,6,4716,153909
37,35047,NM,San Miguel County,6,6856,315194
38,42095,PA,Northampton County,2,27078,119283
39,39013,OH,Belmont County,3,10135,116096
40,41055,OR,Sherman County,9,208,255026
41,21187,KY,Owen County,8,1923,104659
42,27133,MN,Rock County,6,877,225163
43,31117,NE,McPherson County,9,60,200520
44,8117,CO,Summit County,7,2398,269837
45,51005,VA,Alleghany County,6,2288,110862
46,13067,GA,Cobb County,1,73446,153909
47,32003,NV,Clark County,1,311352,286380
48,20031,KS,Coffey County,6,861,213100
49,11001,DC,District of Columbia,1,119778,177
50,22105,LA,Tangipahoa Parish,4,27350,1302.15171
51,31151,NE,Saline County,6,1526,200520
52,47063,TN,Hamblen County,3,11601,109247
53,49035,UT,Salt Lake County,2,104297,219653
54,22035,LA,East Carroll Parish,7,2686,1302.15171
