d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,coordinates of geographic center,population
0,35005,NM,Chaves County,5,13974,Point(-106.1126 34.4071),2085109
1,13297,GA,Walton County,1,11385,Point(-83.437611111 32.662027777),10214860
2,13137,GA,Habersham County,6,6500,Point(-83.437611111 32.662027777),10214860
3,54017,WV,Doddridge County,9,1460,Point(-80.6227 38.6409),1844128
4,55055,WI,Jefferson County,4,7618,Point(-89.9941 44.6243),5771337
5,38065,ND,Oliver County,8,191,Point(-100.4659 47.4501),756927
6,13059,GA,Clarke County,3,31950,Point(-83.437611111 32.662027777),10214860
7,36023,NY,Cortland County,4,7230,Point(-75.5268 42.9538),19795791
8,21109,KY,Jackson County,9,4213,Point(-85.3021 37.5347),4425092
9,54003,WV,Berkeley County,3,14461,Point(-80.6227 38.6409),1844128
10,22079,LA,Rapides Parish,3,25575,,3976322
11,20037,KS,Crawford County,4,8318,Point(-98.3804 38.4937),2911641
12,5145,AR,White County,4,11843,Point(-92.4426 34.8938),2978204
13,5057,AR,Hempstead County,6,4483,Point(-92.4426 34.8938),2978204
14,20117,KS,Marshall County,7,995,Point(-98.3804 38.4937),2911641
15,37083,NC,Halifax County,4,13595,Point(-79.5 35.5),10042802
16,51037,VA,Charlotte County,8,2488,Point(-78.8537 37.5215),8382993
17,41065,OR,Wasco County,6,3624,Point(-120.5583 43.9336),4028977
18,29067,MO,Douglas County,6,2607,Point(-92.458 38.3566),6083672
19,16045,ID,Gem County,2,3042,Point(-114.613 44.3509),1654930
20,38055,ND,McLean County,8,880,Point(-100.4659 47.4501),756927
21,28075,MS,Lauderdale County,5,17531,Point(-89.6678 32.7364),2992333
22,4021,AZ,Pinal County,1,60679,Point(-111.6602 34.2744),6828065
23,45013,SC,Beaufort County,5,18326,Point(-80.8964 33.9169),4896146
24,47043,TN,Dickson County,1,6973,Point(-86.3505 35.858),6600299
25,47079,TN,Henry County,7,6187,Point(-86.3505 35.858),6600299
26,6023,CA,Humboldt County,5,26632,Point(-119.4696 37.1841),39144818
27,1035,AL,Conecuh County,9,3464,Point(-86.8287 32.7794),4858979
28,51640,VA,Galax city,6,1327,Point(-78.8537 37.5215),8382993
29,39175,OH,Wyandot County,7,1881,Point(-82.7937 40.2862),11613423
30,55073,WI,Marathon County,3,13941,Point(-89.9941 44.6243),5771337
31,42065,PA,Jefferson County,7,5743,Point(-77.7996 40.8781),12802503
32,12035,FL,Flagler County,4,11997,Point(-82.4497 28.6305),20271272
33,12015,FL,Charlotte County,3,22087,Point(-82.4497 28.6305),20271272
34,25019,MA,Nantucket County,7,697,Point(-71.8083 42.2596),6794422
35,21231,KY,Wayne County,7,5390,Point(-85.3021 37.5347),4425092
36,13055,GA,Chattooga County,6,4716,Point(-83.437611111 32.662027777),10214860
37,35047,NM,San Miguel County,6,6856,Point(-106.1126 34.4071),2085109
38,42095,PA,Northampton County,2,27078,Point(-77.7996 40.8781),12802503
39,39013,OH,Belmont County,3,10135,Point(-82.7937 40.2862),11613423
40,41055,OR,Sherman County,9,208,Point(-120.5583 43.9336),4028977
41,21187,KY,Owen County,8,1923,Point(-85.3021 37.5347),4425092
42,27133,MN,Rock County,6,877,Point(-94.3053 46.2807),5489594
43,31117,NE,McPherson County,9,60,Point(-99.7951 41.5378),1896190
44,8117,CO,Summit County,7,2398,Point(-105.5478 38.9972),5456574
45,51005,VA,Alleghany County,6,2288,Point(-78.8537 37.5215),8382993
46,13067,GA,Cobb County,1,73446,Point(-83.437611111 32.662027777),10214860
47,32003,NV,Clark County,1,311352,Point(-116.6312 39.3289),2890845
48,20031,KS,Coffey County,6,861,Point(-98.3804 38.4937),2911641
49,11001,DC,District of Columbia,1,119778,Point(-77.0147 38.9101),672228
50,22105,LA,Tangipahoa Parish,4,27350,,3976322
51,31151,NE,Saline County,6,1526,Point(-99.7951 41.5378),1896190
52,47063,TN,Hamblen County,3,11601,Point(-86.3505 35.858),6600299
53,49035,UT,Salt Lake County,2,104297,Point(-111.6703 39.3055),2763885
54,22035,LA,East Carroll Parish,7,2686,,3976322
55,21183,KY,Ohio County,6,4865,Point(-85.3021 37.5347),4425092
56,13123,GA,Gilmer County,6,4490,Point(-83.437611111 32.662027777),10214860
57,46093,SD,Meade County,3,2666,,1394928
58,19159,IA,Ringgold County,9,696,Point(-93.496 42.0751),3046355
59,42129,PA,Westmoreland County,1,34269,Point(-77.7996 40.8781),12802503
60,13105,GA,Elbert County,6,4197,Point(-83.437611111 32.662027777),10214860
61,51077,VA,Grayson County,9,2593,Point(-78.8537 37.5215),8382993
62,55077,WI,Marquette County,8,1781,Point(-89.9941 44.6243),5771337
63,47017,TN,Carroll County,6,4894,Point(-86.3505 35.858),6600299
64,31039,NE,Cuming County,7,772,Point(-99.7951 41.5378),1896190
65,19015,IA,Boone County,6,2389,Point(-93.496 42.0751),3046355
66,37075,NC,Graham County,9,1675,Point(-79.5 35.5),10042802
67,1089,AL,Madison County,2,47081,Point(-86.8287 32.7794),4858979
68,53073,WA,Whatcom County,3,32082,Point(-120.4472 47.3826),7170351
69,20167,KS,Russell County,7,1002,Point(-98.3804 38.4937),2911641
70,48395,TX,Robertson County,3,3097,Point(-99.3312 31.4757),27469114
71,12081,FL,Manatee County,2,47042,Point(-82.4497 28.6305),20271272
72,18171,IN,Warren County,8,731,Point(-86.2816 39.8942),6619680
73,48123,TX,DeWitt County,6,3462,Point(-99.3312 31.4757),27469114
74,48133,TX,Eastland County,6,3475,Point(-99.3312 31.4757),27469114
75,26123,MI,Newaygo County,2,8101,Point(-85.4102 44.3467),9922576
76,21227,KY,Warren County,3,22037,Point(-85.3021 37.5347),4425092
77,5129,AR,Searcy County,9,1814,Point(-92.4426 34.8938),2978204
78,12013,FL,Calhoun County,6,2742,Point(-82.4497 28.6305),20271272
79,55035,WI,Eau Claire County,3,12783,Point(-89.9941 44.6243),5771337
80,22057,LA,Lafourche Parish,3,16447,,3976322
81,19053,IA,Decatur County,9,1469,Point(-93.496 42.0751),3046355
82,13195,GA,Madison County,3,4255,Point(-83.437611111 32.662027777),10214860
83,51097,VA,King and Queen County,1,960,Point(-78.8537 37.5215),8382993
84,28033,MS,DeSoto County,1,17819,Point(-89.6678 32.7364),2992333
85,21239,KY,Woodford County,2,3099,Point(-85.3021 37.5347),4425092
86,27141,MN,Sherburne County,1,5703,Point(-94.3053 46.2807),5489594
87,5067,AR,Jackson County,6,3587,Point(-92.4426 34.8938),2978204
88,45065,SC,McCormick County,8,1538,Point(-80.8964 33.9169),4896146
89,31015,NE,Boyd County,9,283,Point(-99.7951 41.5378),1896190
90,38071,ND,Ramsey County,7,1556,Point(-100.4659 47.4501),756927
91,55049,WI,Iowa County,2,2063,Point(-89.9941 44.6243),5771337
92,13263,GA,Talbot County,8,1447,Point(-83.437611111 32.662027777),10214860
93,26013,MI,Baraga County,9,1235,Point(-85.4102 44.3467),9922576
94,12059,FL,Holmes County,6,4276,Point(-82.4497 28.6305),20271272
95,21063,KY,Elliott County,9,1998,Point(-85.3021 37.5347),4425092
96,42099,PA,Perry County,2,4082,Point(-77.7996 40.8781),12802503
97,54103,WV,Wetzel County,6,3023,Point(-80.6227 38.6409),1844128
98,26087,MI,Lapeer County,1,9324,Point(-85.4102 44.3467),9922576
99,6045,CA,Mendocino County,4,16366,Point(-119.4696 37.1841),39144818
100,19113,IA,Linn County,3,21613,Point(-93.496 42.0751),3046355
101,54091,WV,Taylor County,6,2678,Point(-80.6227 38.6409),1844128
102,31045,NE,Dawes County,7,1366,Point(-99.7951 41.5378),1896190
103,40065,OK,Jackson County,5,4756,Point(-97.4943 35.5889),3911338
104,13181,GA,Lincoln County,8,1479,Point(-83.437611111 32.662027777),10214860
105,48167,TX,Galveston County,1,41747,Point(-99.3312 31.4757),27469114
106,38007,ND,Billings County,9,83,Point(-100.4659 47.4501),756927
107,36091,NY,Saratoga County,2,14094,Point(-75.5268 42.9538),19795791
108,1103,AL,Morgan County,3,18457,Point(-86.8287 32.7794),4858979
109,46053,SD,Gregory County,9,655,,1394928
110,1127,AL,Walker County,1,13097,Point(-86.8287 32.7794),4858979
111,27131,MN,Rice County,4,5673,Point(-94.3053 46.2807),5489594
112,28035,MS,Forrest County,3,18514,Point(-89.6678 32.7364),2992333
113,33015,NH,Rockingham County,1,12681,Point(-71.5811 43.6805),1330608
114,25005,MA,Bristol County,1,58070,Point(-71.8083 42.2596),6794422
115,48267,TX,Kimble County,7,848,Point(-99.3312 31.4757),27469114
116,13211,GA,Morgan County,6,2358,Point(-83.437611111 32.662027777),10214860
117,1105,AL,Perry County,8,3066,Point(-86.8287 32.7794),4858979
118,27053,MN,Hennepin County,1,132137,Point(-94.3053 46.2807),5489594
119,8035,CO,Douglas County,1,11114,Point(-105.5478 38.9972),5456574
120,42039,PA,Crawford County,4,11832,Point(-77.7996 40.8781),12802503
121,45069,SC,Marlboro County,6,6743,Point(-80.8964 33.9169),4896146
122,48299,TX,Llano County,7,2701,Point(-99.3312 31.4757),27469114
123,53051,WA,Pend Oreille County,8,2103,Point(-120.4472 47.3826),7170351
124,48487,TX,Wilbarger County,6,1981,Point(-99.3312 31.4757),27469114
125,37191,NC,Wayne County,3,24889,Point(-79.5 35.5),10042802
126,51199,VA,York County,1,3417,Point(-78.8537 37.5215),8382993
127,27085,MN,McLeod County,6,2613,Point(-94.3053 46.2807),5489594
128,48335,TX,Mitchell County,7,1473,Point(-99.3312 31.4757),27469114
129,2050,AK,Bethel Census Area,7,4502,Point(-152.2782 64.0685),738432
130,48291,TX,Liberty County,1,12164,Point(-99.3312 31.4757),27469114
131,28125,MS,Sharkey County,9,1567,Point(-89.6678 32.7364),2992333
132,6067,CA,Sacramento County,1,243760,Point(-119.4696 37.1841),39144818
133,51031,VA,Campbell County,3,7220,Point(-78.8537 37.5215),8382993
134,31053,NE,Dodge County,4,4131,Point(-99.7951 41.5378),1896190
135,48389,TX,Reeves County,7,2943,Point(-99.3312 31.4757),27469114
136,47103,TN,Lincoln County,6,5546,Point(-86.3505 35.858),6600299
137,40019,OK,Carter County,5,7799,Point(-97.4943 35.5889),3911338
138,39085,OH,Lake County,1,19364,Point(-82.7937 40.2862),11613423
139,51195,VA,Wise County,7,8525,Point(-78.8537 37.5215),8382993
140,47077,TN,Henderson County,6,4777,Point(-86.3505 35.858),6600299
141,31141,NE,Platte County,5,2920,Point(-99.7951 41.5378),1896190
142,6061,CA,Placer County,1,27340,Point(-119.4696 37.1841),39144818
143,13165,GA,Jenkins County,6,2606,Point(-83.437611111 32.662027777),10214860
144,49049,UT,Utah County,2,66112,Point(-111.6703 39.3055),2763885
145,28161,MS,Yalobusha County,7,2812,Point(-89.6678 32.7364),2992333
146,34005,NJ,Burlington County,1,27083,Point(-74.6728 40.1907),8958013
147,17019,IL,Champaign County,3,36364,Point(-89.1965 40.0417),12859995
148,13061,GA,Clay County,9,1040,Point(-83.437611111 32.662027777),10214860
149,37053,NC,Currituck County,1,2616,Point(-79.5 35.5),10042802
150,17011,IL,Bureau County,6,3775,Point(-89.1965 40.0417),12859995
151,31109,NE,Lancaster County,2,35993,Point(-99.7951 41.5378),1896190
152,39141,OH,Ross County,4,13224,Point(-82.7937 40.2862),11613423
153,37107,NC,Lenoir County,4,11637,Point(-79.5 35.5),10042802
154,30019,MT,Daniels County,9,176,Point(-109.6333 47.0527),1032949
155,2110,AK,Juneau Borough,5,2334,Point(-152.2782 64.0685),738432
156,47091,TN,Johnson County,6,4038,Point(-86.3505 35.858),6600299
157,48143,TX,Erath County,7,7361,Point(-99.3312 31.4757),27469114
158,20161,KS,Riley County,5,11709,Point(-98.3804 38.4937),2911641
159,5077,AR,Lee County,6,2701,Point(-92.4426 34.8938),2978204
160,27103,MN,Nicollet County,5,2490,Point(-94.3053 46.2807),5489594
161,1091,AL,Marengo County,7,5003,Point(-86.8287 32.7794),4858979
162,30063,MT,Missoula County,3,17206,Point(-109.6333 47.0527),1032949
163,48185,TX,Grimes County,6,4124,Point(-99.3312 31.4757),27469114
164,47167,TN,Tipton County,1,9698,Point(-86.3505 35.858),6600299
165,26093,MI,Livingston County,1,10912,Point(-85.4102 44.3467),9922576
166,48259,TX,Kendall County,1,3119,Point(-99.3312 31.4757),27469114
167,56039,WY,Teton County,7,1680,Point(-107.5512 42.9957),586107
168,5093,AR,Mississippi County,4,10307,Point(-92.4426 34.8938),2978204
169,22019,LA,Calcasieu Parish,3,39035,,3976322
170,48243,TX,Jeff Davis County,9,274,Point(-99.3312 31.4757),27469114
171,6027,CA,Inyo County,7,2184,Point(-119.4696 37.1841),39144818
172,48093,TX,Comanche County,7,2271,Point(-99.3312 31.4757),27469114
173,1001,AL,Autauga County,2,7444,Point(-86.8287 32.7794),4858979
174,19183,IA,Washington County,3,2161,Point(-93.496 42.0751),3046355
175,8003,CO,Alamosa County,7,3816,Point(-105.5478 38.9972),5456574
176,31087,NE,Hitchcock County,9,360,Point(-99.7951 41.5378),1896190
177,29061,MO,Daviess County,8,1357,Point(-92.458 38.3566),6083672
178,26025,MI,Calhoun County,3,21973,Point(-85.4102 44.3467),9922576
179,9013,CT,Tolland County,1,9786,Point(-72.7273 41.6219),3590886
180,29069,MO,Dunklin County,7,8089,Point(-92.458 38.3566),6083672
181,24041,MD,Talbot County,6,3827,Point(-76.7909 39.055),6006401
182,13115,GA,Floyd County,3,14596,Point(-83.437611111 32.662027777),10214860
183,48401,TX,Rusk County,3,7461,Point(-99.3312 31.4757),27469114
184,1065,AL,Hale County,3,3495,Point(-86.8287 32.7794),4858979
185,54013,WV,Calhoun County,8,1586,Point(-80.6227 38.6409),1844128
186,48043,TX,Brewster County,7,1365,Point(-99.3312 31.4757),27469114
187,1029,AL,Cleburne County,8,2527,Point(-86.8287 32.7794),4858979
188,4005,AZ,Coconino County,3,23116,Point(-111.6602 34.2744),6828065
189,8023,CO,Costilla County,9,1128,Point(-105.5478 38.9972),5456574
190,6075,CA,San Francisco County,1,87690,Point(-119.4696 37.1841),39144818
191,48019,TX,Bandera County,1,3138,Point(-99.3312 31.4757),27469114
192,17181,IL,Union County,7,2957,Point(-89.1965 40.0417),12859995
193,5087,AR,Madison County,2,2910,Point(-92.4426 34.8938),2978204
194,51133,VA,Northumberland County,9,1632,Point(-78.8537 37.5215),8382993
195,8061,CO,Kiowa County,9,189,Point(-105.5478 38.9972),5456574
196,48165,TX,Gaines County,7,2982,Point(-99.3312 31.4757),27469114
197,6007,CA,Butte County,3,43428,Point(-119.4696 37.1841),39144818
198,13213,GA,Murray County,3,7055,Point(-83.437611111 32.662027777),10214860
