d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population,short name
0,35005,NM,Chaves County,5,13974,2085109,NM
1,13297,GA,Walton County,1,11385,10214860,GA
2,13137,GA,Habersham County,6,6500,10214860,GA
3,54017,WV,Doddridge County,9,1460,1844128,WV
4,55055,WI,Jefferson County,4,7618,5771337,WI
5,38065,ND,Oliver County,8,191,756927,ND
6,13059,GA,Clarke County,3,31950,10214860,GA
7,36023,NY,Cortland County,4,7230,19795791,N.Y.
8,21109,KY,Jackson County,9,4213,4425092,KY
9,54003,WV,Berkeley County,3,14461,1844128,WV
10,22079,LA,Rapides Parish,3,25575,3976322,LA
11,20037,KS,Crawford County,4,8318,2911641,KS
12,5145,AR,White County,4,11843,2978204,AR
13,5057,AR,Hempstead County,6,4483,2978204,AR
14,20117,KS,Marshall County,7,995,2911641,KS
15,37083,NC,Halifax County,4,13595,10042802,NC
16,51037,VA,Charlotte County,8,2488,8382993,VA
17,41065,OR,Wasco County,6,3624,4028977,OR
18,29067,MO,Douglas County,6,2607,6083672,MO
19,16045,ID,Gem County,2,3042,1654930,ID
20,38055,ND,McLean County,8,880,756927,ND
21,28075,MS,Lauderdale County,5,17531,2992333,MS
22,4021,AZ,Pinal County,1,60679,6828065,AZ
23,45013,SC,Beaufort County,5,18326,4896146,SC
24,47043,TN,Dickson County,1,6973,6600299,TN
25,47079,TN,Henry County,7,6187,6600299,TN
26,6023,CA,Humboldt County,5,26632,39144818,Cal.
27,1035,AL,Conecuh County,9,3464,4858979,AL
28,51640,VA,Galax city,6,1327,8382993,VA
29,39175,OH,Wyandot County,7,1881,11613423,OH
30,55073,WI,Marathon County,3,13941,5771337,WI
31,42065,PA,Jefferson County,7,5743,12802503,PA
32,12035,FL,Flagler County,4,11997,20271272,Fla.
33,12015,FL,Charlotte County,3,22087,20271272,Fla.
34,25019,MA,Nantucket County,7,697,6794422,MA
35,21231,KY,Wayne County,7,5390,4425092,KY
36,13055,GA,Chattooga County,6,4716,10214860,GA
37,35047,NM,San Miguel County,6,6856,2085109,NM
38,42095,PA,Northampton County,2,27078,12802503,PA
39,39013,OH,Belmont County,3,10135,11613423,OH
40,41055,OR,Sherman County,9,208,4028977,OR
41,21187,KY,Owen County,8,1923,4425092,KY
42,27133,MN,Rock County,6,877,5489594,MN
43,31117,NE,McPherson County,9,60,1896190,NE
44,8117,CO,Summit County,7,2398,5456574,Colo.
45,51005,VA,Alleghany County,6,2288,8382993,VA
46,13067,GA,Cobb County,1,73446,10214860,GA
47,32003,NV,Clark County,1,311352,2890845,NV
48,20031,KS,Coffey County,6,861,2911641,KS
49,11001,DC,District of Columbia,1,119778,672228,Washington
50,22105,LA,Tangipahoa Parish,4,27350,3976322,LA
51,31151,NE,Saline County,6,1526,1896190,NE
52,47063,TN,Hamblen County,3,11601,6600299,TN
53,49035,UT,Salt Lake County,2,104297,2763885,UT
54,22035,LA,East Carroll Parish,7,2686,3976322,LA
55,21183,KY,Ohio County,6,4865,4425092,KY
56,13123,GA,Gilmer County,6,4490,10214860,GA
57,46093,SD,Meade County,3,2666,1394928,
58,19159,IA,Ringgold County,9,696,3046355,IA
59,42129,PA,Westmoreland County,1,34269,12802503,PA
60,13105,GA,Elbert County,6,4197,10214860,GA
61,51077,VA,Grayson County,9,2593,8382993,VA
62,55077,WI,Marquette County,8,1781,5771337,WI
63,47017,TN,Carroll County,6,4894,6600299,TN
