d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,capital
0,35005,NM,Chaves County,5,13974,Santa Fe
1,13297,GA,Walton County,1,11385,Atlanta
2,13137,GA,Habersham County,6,6500,Atlanta
3,54017,WV,Doddridge County,9,1460,Charleston
4,55055,WI,Jefferson County,4,7618,Madison
5,38065,ND,Oliver County,8,191,Bismarck
6,13059,GA,Clarke County,3,31950,Atlanta
7,36023,NY,Cortland County,4,7230,Albany
8,21109,KY,Jackson County,9,4213,Frankfort
9,54003,WV,Berkeley County,3,14461,Charleston
10,22079,LA,Rapides Parish,3,25575,
11,20037,KS,Crawford County,4,8318,Topeka
12,5145,AR,White County,4,11843,Little Rock
13,5057,AR,Hempstead County,6,4483,Little Rock
14,20117,KS,Marshall County,7,995,Topeka
15,37083,NC,Halifax County,4,13595,Raleigh
16,51037,VA,Charlotte County,8,2488,Richmond
17,41065,OR,Wasco County,6,3624,Salem
18,29067,MO,Douglas County,6,2607,Jefferson City
19,16045,ID,Gem County,2,3042,Boise
20,38055,ND,McLean County,8,880,Bismarck
21,28075,MS,Lauderdale County,5,17531,Jackson
22,4021,AZ,Pinal County,1,60679,Phoenix
23,45013,SC,Beaufort County,5,18326,Columbia
24,47043,TN,Dickson County,1,6973,Nashville
25,47079,TN,Henry County,7,6187,Nashville
26,6023,CA,Humboldt County,5,26632,Sacramento
27,1035,AL,Conecuh County,9,3464,Montgomery
28,51640,VA,Galax city,6,1327,Richmond
29,39175,OH,Wyandot County,7,1881,Columbus
30,55073,WI,Marathon County,3,13941,Madison
31,42065,PA,Jefferson County,7,5743,Harrisburg
32,12035,FL,Flagler County,4,11997,Tallahassee
33,12015,FL,Charlotte County,3,22087,Tallahassee
34,25019,MA,Nantucket County,7,697,Boston
35,21231,KY,Wayne County,7,5390,Frankfort
36,13055,GA,Chattooga County,6,4716,Atlanta
37,35047,NM,San Miguel County,6,6856,Santa Fe
38,42095,PA,Northampton County,2,27078,Harrisburg
39,39013,OH,Belmont County,3,10135,Columbus
40,41055,OR,Sherman County,9,208,Salem
41,21187,KY,Owen County,8,1923,Frankfort
42,27133,MN,Rock County,6,877,Saint Paul
43,31117,NE,McPherson County,9,60,Lincoln
44,8117,CO,Summit County,7,2398,Denver
45,51005,VA,Alleghany County,6,2288,Richmond
46,13067,GA,Cobb County,1,73446,Atlanta
47,32003,NV,Clark County,1,311352,Carson City
48,20031,KS,Coffey County,6,861,Topeka
49,11001,DC,District of Columbia,1,119778,
50,22105,LA,Tangipahoa Parish,4,27350,
51,31151,NE,Saline County,6,1526,Lincoln
52,47063,TN,Hamblen County,3,11601,Nashville
53,49035,UT,Salt Lake County,2,104297,Salt Lake City
54,22035,LA,East Carroll Parish,7,2686,
55,21183,KY,Ohio County,6,4865,Frankfort
56,13123,GA,Gilmer County,6,4490,Atlanta
57,46093,SD,Meade County,3,2666,
58,19159,IA,Ringgold County,9,696,Des Moines
59,42129,PA,Westmoreland County,1,34269,Harrisburg
60,13105,GA,Elbert County,6,4197,Atlanta
61,51077,VA,Grayson County,9,2593,Richmond
62,55077,WI,Marquette County,8,1781,Madison
63,47017,TN,Carroll County,6,4894,Nashville
64,31039,NE,Cuming County,7,772,Lincoln
65,19015,IA,Boone County,6,2389,Des Moines
66,37075,NC,Graham County,9,1675,Raleigh
67,1089,AL,Madison County,2,47081,Montgomery
68,53073,WA,Whatcom County,3,32082,Olympia
69,20167,KS,Russell County,7,1002,Topeka
70,48395,TX,Robertson County,3,3097,Austin
71,12081,FL,Manatee County,2,47042,Tallahassee
72,18171,IN,Warren County,8,731,Indianapolis
73,48123,TX,DeWitt County,6,3462,Austin
74,48133,TX,Eastland County,6,3475,Austin
75,26123,MI,Newaygo County,2,8101,Lansing
76,21227,KY,Warren County,3,22037,Frankfort
77,5129,AR,Searcy County,9,1814,Little Rock
78,12013,FL,Calhoun County,6,2742,Tallahassee
79,55035,WI,Eau Claire County,3,12783,Madison
