d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,shares border with
0,35005,NM,Chaves County,5,13974,2
1,13297,GA,Walton County,1,11385,6
2,13137,GA,Habersham County,6,6500,7
3,54017,WV,Doddridge County,9,1460,6
4,55055,WI,Jefferson County,4,7618,6
5,38065,ND,Oliver County,8,191,4
6,13059,GA,Clarke County,3,31950,6
7,36023,NY,Cortland County,4,7230,7
8,21109,KY,Jackson County,9,4213,4
9,54003,WV,Berkeley County,3,14461,6
10,22079,LA,Rapides Parish,3,25575,7
11,20037,KS,Crawford County,4,8318,2
12,5145,AR,White County,4,11843,7
13,5057,AR,Hempstead County,6,4483,7
14,20117,KS,Marshall County,7,995,2
15,37083,NC,Halifax County,4,13595,7
16,51037,VA,Charlotte County,8,2488,6
17,41065,OR,Wasco County,6,3624,1
18,29067,MO,Douglas County,6,2607,4
19,16045,ID,Gem County,2,3042,2
20,38055,ND,McLean County,8,880,3
21,28075,MS,Lauderdale County,5,17531,8
22,4021,AZ,Pinal County,1,60679,4
23,45013,SC,Beaufort County,5,18326,3
24,47043,TN,Dickson County,1,6973,6
25,47079,TN,Henry County,7,6187,1
26,6023,CA,Humboldt County,5,26632,4
27,1035,AL,Conecuh County,9,3464,1
28,51640,VA,Galax city,6,1327,
29,39175,OH,Wyandot County,7,1881,5
30,55073,WI,Marathon County,3,13941,8
31,42065,PA,Jefferson County,7,5743,6
32,12035,FL,Flagler County,4,11997,3
33,12015,FL,Charlotte County,3,22087,6
34,25019,MA,Nantucket County,7,697,
35,21231,KY,Wayne County,7,5390,3
36,13055,GA,Chattooga County,6,4716,4
37,35047,NM,San Miguel County,6,6856,3
38,42095,PA,Northampton County,2,27078,5
39,39013,OH,Belmont County,3,10135,7
40,41055,OR,Sherman County,9,208,1
41,21187,KY,Owen County,8,1923,5
42,27133,MN,Rock County,6,877,7
43,31117,NE,McPherson County,9,60,7
44,8117,CO,Summit County,7,2398,8
45,51005,VA,Alleghany County,6,2288,7
46,13067,GA,Cobb County,1,73446,5
47,32003,NV,Clark County,1,311352,5
48,20031,KS,Coffey County,6,861,7
49,11001,DC,District of Columbia,1,119778,7
50,22105,LA,Tangipahoa Parish,4,27350,7
51,31151,NE,Saline County,6,1526,3
52,47063,TN,Hamblen County,3,11601,5
53,49035,UT,Salt Lake County,2,104297,6
54,22035,LA,East Carroll Parish,7,2686,1
55,21183,KY,Ohio County,6,4865,5
56,13123,GA,Gilmer County,6,4490,5
57,46093,SD,Meade County,3,2666,5
58,19159,IA,Ringgold County,9,696,3
59,42129,PA,Westmoreland County,1,34269,8
60,13105,GA,Elbert County,6,4197,1
61,51077,VA,Grayson County,9,2593,7
62,55077,WI,Marquette County,8,1781,8
63,47017,TN,Carroll County,6,4894,24
64,31039,NE,Cuming County,7,772,6
65,19015,IA,Boone County,6,2389,5
66,37075,NC,Graham County,9,1675,7
67,1089,AL,Madison County,2,47081,5
68,53073,WA,Whatcom County,3,32082,6
69,20167,KS,Russell County,7,1002,7
70,48395,TX,Robertson County,3,3097,6
71,12081,FL,Manatee County,2,47042,5
72,18171,IN,Warren County,8,731,4
73,48123,TX,DeWitt County,6,3462,5
74,48133,TX,Eastland County,6,3475,4
75,26123,MI,Newaygo County,2,8101,3
76,21227,KY,Warren County,3,22037,4
77,5129,AR,Searcy County,9,1814,3
78,12013,FL,Calhoun County,6,2742,2
79,55035,WI,Eau Claire County,3,12783,7
80,22057,LA,Lafourche Parish,3,16447,2
81,19053,IA,Decatur County,9,1469,6
82,13195,GA,Madison County,3,4255,5
83,51097,VA,King and Queen County,1,960,7
84,28033,MS,DeSoto County,1,17819,2
85,21239,KY,Woodford County,2,3099,2
86,27141,MN,Sherburne County,1,5703,4
87,5067,AR,Jackson County,6,3587,4
88,45065,SC,McCormick County,8,1538,6
89,31015,NE,Boyd County,9,283,5
90,38071,ND,Ramsey County,7,1556,4
91,55049,WI,Iowa County,2,2063,6
92,13263,GA,Talbot County,8,1447,5
93,26013,MI,Baraga County,9,1235,
94,12059,FL,Holmes County,6,4276,4
95,21063,KY,Elliott County,9,1998,4
96,42099,PA,Perry County,2,4082,7
97,54103,WV,Wetzel County,6,3023,8
98,26087,MI,Lapeer County,1,9324,6
99,6045,CA,Mendocino County,4,16366,6
100,19113,IA,Linn County,3,21613,2
101,54091,WV,Taylor County,6,2678,6
102,31045,NE,Dawes County,7,1366,2
103,40065,OK,Jackson County,5,4756,4
104,13181,GA,Lincoln County,8,1479,6
105,48167,TX,Galveston County,1,41747,3
106,38007,ND,Billings County,9,83,5
107,36091,NY,Saratoga County,2,14094,8
108,1103,AL,Morgan County,3,18457,5
109,46053,SD,Gregory County,9,655,5
110,1127,AL,Walker County,1,13097,2
111,27131,MN,Rice County,4,5673,7
112,28035,MS,Forrest County,3,18514,5
113,33015,NH,Rockingham County,1,12681,5
114,25005,MA,Bristol County,1,58070,6
115,48267,TX,Kimble County,7,848,7
116,13211,GA,Morgan County,6,2358,5
117,1105,AL,Perry County,8,3066,7
118,27053,MN,Hennepin County,1,132137,6
119,8035,CO,Douglas County,1,11114,4
120,42039,PA,Crawford County,4,11832,2
121,45069,SC,Marlboro County,6,6743,8
122,48299,TX,Llano County,7,2701,5
123,53051,WA,Pend Oreille County,8,2103,5
124,48487,TX,Wilbarger County,6,1981,6
125,37191,NC,Wayne County,3,24889,3
126,51199,VA,York County,1,3417,5
127,27085,MN,McLeod County,6,2613,5
128,48335,TX,Mitchell County,7,1473,5
129,2050,AK,Bethel Census Area,7,4502,2
130,48291,TX,Liberty County,1,12164,1
131,28125,MS,Sharkey County,9,1567,1
132,6067,CA,Sacramento County,1,243760,8
133,51031,VA,Campbell County,3,7220,6
134,31053,NE,Dodge County,4,4131,7
135,48389,TX,Reeves County,7,2943,5
136,47103,TN,Lincoln County,6,5546,6
137,40019,OK,Carter County,5,7799,3
138,39085,OH,Lake County,1,19364,6
139,51195,VA,Wise County,7,8525,6
140,47077,TN,Henderson County,6,4777,6
141,31141,NE,Platte County,5,2920,5
142,6061,CA,Placer County,1,27340,8
143,13165,GA,Jenkins County,6,2606,4
144,49049,UT,Utah County,2,66112,7
145,28161,MS,Yalobusha County,7,2812,2
146,34005,NJ,Burlington County,1,27083,6
147,17019,IL,Champaign County,3,36364,6
148,13061,GA,Clay County,9,1040,20
149,37053,NC,Currituck County,1,2616,5
150,17011,IL,Bureau County,6,3775,7
151,31109,NE,Lancaster County,2,35993,7
152,39141,OH,Ross County,4,13224,7
153,37107,NC,Lenoir County,4,11637,6
154,30019,MT,Daniels County,9,176,1
155,2110,AK,Juneau Borough,5,2334,
156,47091,TN,Johnson County,6,4038,6
157,48143,TX,Erath County,7,7361,7
158,20161,KS,Riley County,5,11709,6
159,5077,AR,Lee County,6,2701,4
160,27103,MN,Nicollet County,5,2490,3
161,1091,AL,Marengo County,7,5003,6
162,30063,MT,Missoula County,3,17206,9
163,48185,TX,Grimes County,6,4124,6
164,47167,TN,Tipton County,1,9698,6
165,26093,MI,Livingston County,1,10912,2
166,48259,TX,Kendall County,1,3119,6
167,56039,WY,Teton County,7,1680,8
168,5093,AR,Mississippi County,4,10307,8
169,22019,LA,Calcasieu Parish,3,39035,5
170,48243,TX,Jeff Davis County,9,274,7
171,6027,CA,Inyo County,7,2184,8
172,48093,TX,Comanche County,7,2271,6
173,1001,AL,Autauga County,2,7444,5
174,19183,IA,Washington County,3,2161,16
175,8003,CO,Alamosa County,7,3816,5
176,31087,NE,Hitchcock County,9,360,2
177,29061,MO,Daviess County,8,1357,
178,26025,MI,Calhoun County,3,21973,2
179,9013,CT,Tolland County,1,9786,5
180,29069,MO,Dunklin County,7,8089,1
181,24041,MD,Talbot County,6,3827,5
182,13115,GA,Floyd County,3,14596,5
183,48401,TX,Rusk County,3,7461,2
184,1065,AL,Hale County,3,3495,2
185,54013,WV,Calhoun County,8,1586,2
186,48043,TX,Brewster County,7,1365,7
187,1029,AL,Cleburne County,8,2527,5
188,4005,AZ,Coconino County,3,23116,6
189,8023,CO,Costilla County,9,1128,6
190,6075,CA,San Francisco County,1,87690,5
191,48019,TX,Bandera County,1,3138,6
192,17181,IL,Union County,7,2957,
193,5087,AR,Madison County,2,2910,5
194,51133,VA,Northumberland County,9,1632,9
195,8061,CO,Kiowa County,9,189,6
196,48165,TX,Gaines County,7,2982,6
197,6007,CA,Butte County,3,43428,6
198,13213,GA,Murray County,3,7055,4
