d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population
0,35005,NM,Chaves County,5,13974,65823
1,13297,GA,Walton County,1,11385,59807
2,13137,GA,Habersham County,6,6500,43300
3,54017,WV,Doddridge County,9,1460,8344
4,55055,WI,Jefferson County,4,7618,659479
5,38065,ND,Oliver County,8,191,1874
6,13059,GA,Clarke County,3,31950,25207
7,36023,NY,Cortland County,4,7230,48976
8,21109,KY,Jackson County,9,4213,208545
9,54003,WV,Berkeley County,3,14461,194020
10,22079,LA,Rapides Parish,3,25575,132723
11,20037,KS,Crawford County,4,8318,24543
12,5145,AR,White County,4,11843,78483
13,5057,AR,Hempstead County,6,4483,22474
14,20117,KS,Marshall County,7,995,94760
15,37083,NC,Halifax County,4,13595,35401
16,51037,VA,Charlotte County,8,2488,164736
17,41065,OR,Wasco County,6,3624,25477
18,29067,MO,Douglas County,6,2607,106940
19,16045,ID,Gem County,2,3042,16686
20,38055,ND,McLean County,8,880,9517
21,28075,MS,Lauderdale County,5,17531,92797
22,4021,AZ,Pinal County,1,60679,389350
23,45013,SC,Beaufort County,5,18326,171838
24,47043,TN,Dickson County,1,6973,50266
25,47079,TN,Henry County,7,6187,49044
26,6023,CA,Humboldt County,5,26632,134493
27,1035,AL,Conecuh County,9,3464,12887
28,51640,VA,Galax city,6,1327,
29,39175,OH,Wyandot County,7,1881,22447
30,55073,WI,Marathon County,3,13941,135416
31,42065,PA,Jefferson County,7,5743,659479
32,12035,FL,Flagler County,4,11997,99956
33,12015,FL,Charlotte County,3,22087,164736
34,25019,MA,Nantucket County,7,697,
35,21231,KY,Wayne County,7,5390,1775273
36,13055,GA,Chattooga County,6,4716,25138
37,35047,NM,San Miguel County,6,6856,7678
38,42095,PA,Northampton County,2,27078,299791
39,39013,OH,Belmont County,3,10135,69571
40,41055,OR,Sherman County,9,208,1731
41,21187,KY,Owen County,8,1923,21201
42,27133,MN,Rock County,6,877,160739
43,31117,NE,McPherson County,9,60,29569
44,8117,CO,Summit County,7,2398,38486
45,51005,VA,Alleghany County,6,2288,16161
46,13067,GA,Cobb County,1,73446,717190
47,32003,NV,Clark County,1,311352,2027868
48,20031,KS,Coffey County,6,861,8412
49,11001,DC,District of Columbia,1,119778,672228
50,22105,LA,Tangipahoa Parish,4,27350,125412
51,31151,NE,Saline County,6,1526,114404
52,47063,TN,Hamblen County,3,11601,63074
53,49035,UT,Salt Lake County,2,104297,1079721
54,22035,LA,East Carroll Parish,7,2686,7529
55,21183,KY,Ohio County,6,4865,43727
56,13123,GA,Gilmer County,6,4490,28579
57,46093,SD,Meade County,3,2666,27202
58,19159,IA,Ringgold County,9,696,5072
59,42129,PA,Westmoreland County,1,34269,362437
60,13105,GA,Elbert County,6,4197,23733
61,51077,VA,Grayson County,9,2593,122353
62,55077,WI,Marquette County,8,1781,67700
63,47017,TN,Carroll County,6,4894,47499
64,31039,NE,Cuming County,7,772,8996
65,19015,IA,Boone County,6,2389,24224
66,37075,NC,Graham County,9,1675,37482
67,1089,AL,Madison County,2,47081,7712
68,53073,WA,Whatcom County,3,32082,206353
69,20167,KS,Russell County,7,1002,28264
70,48395,TX,Robertson County,3,3097,16486
71,12081,FL,Manatee County,2,47042,342106
72,18171,IN,Warren County,8,731,65337
73,48123,TX,DeWitt County,6,3462,20503
74,48133,TX,Eastland County,6,3475,18245
75,26123,MI,Newaygo County,2,8101,48001
76,21227,KY,Warren County,3,22037,65337
77,5129,AR,Searcy County,9,1814,8023
78,12013,FL,Calhoun County,6,2742,135012
79,55035,WI,Eau Claire County,3,12783,101438
80,22057,LA,Lafourche Parish,3,16447,97141
81,19053,IA,Decatur County,9,1469,11661
82,13195,GA,Madison County,3,4255,7712
83,51097,VA,King and Queen County,1,960,7130
84,28033,MS,DeSoto County,1,17819,168240
85,21239,KY,Woodford County,2,3099,39273
86,27141,MN,Sherburne County,1,5703,90158
87,5067,AR,Jackson County,6,3587,208545
88,45065,SC,McCormick County,8,1538,9947
89,31015,NE,Boyd County,9,283,48886
90,38071,ND,Ramsey County,7,1556,526714
91,55049,WI,Iowa County,2,2063,23749
92,13263,GA,Talbot County,8,1447,37931
93,26013,MI,Baraga County,9,1235,8695
94,12059,FL,Holmes County,6,4276,19717
95,21063,KY,Elliott County,9,1998,7637
96,42099,PA,Perry County,2,4082,28010
97,54103,WV,Wetzel County,6,3023,16204
98,26087,MI,Lapeer County,1,9324,88389
99,6045,CA,Mendocino County,4,16366,87192
100,19113,IA,Linn County,3,21613,118765
101,54091,WV,Taylor County,6,2678,20610
102,31045,NE,Dawes County,7,1366,9088
103,40065,OK,Jackson County,5,4756,208545
104,13181,GA,Lincoln County,8,1479,5245
105,48167,TX,Galveston County,1,41747,306782
106,38007,ND,Billings County,9,83,874
107,36091,NY,Saratoga County,2,14094,223865
108,1103,AL,Morgan County,3,18457,119787
109,46053,SD,Gregory County,9,655,4242
110,1127,AL,Walker County,1,13097,65998
111,27131,MN,Rice County,4,5673,65049
112,28035,MS,Forrest County,3,18514,77059
113,33015,NH,Rockingham County,1,12681,299134
114,25005,MA,Bristol County,1,58070,552780
115,48267,TX,Kimble County,7,848,4481
116,13211,GA,Morgan County,6,2358,119787
117,1105,AL,Perry County,8,3066,28010
118,27053,MN,Hennepin County,1,132137,1198778
119,8035,CO,Douglas County,1,11114,106940
120,42039,PA,Crawford County,4,11832,24543
121,45069,SC,Marlboro County,6,6743,28003
122,48299,TX,Llano County,7,2701,19444
123,53051,WA,Pend Oreille County,8,2103,12896
124,48487,TX,Wilbarger County,6,1981,13131
125,37191,NC,Wayne County,3,24889,1775273
126,51199,VA,York County,1,3417,199431
