d3mIndex,Month,State,County,Rate,County - named after (any)
0,September,Missouri,Montgomery County,4.2,Richard Montgomery
1,February,New York,Ontario County,6,Lake Ontario
2,November,Virginia,Winchester City,3.8,Winchester
3,June,Colorado,Washington County,2.8,George Washington
4,April,Kansas,Harper County,4.7,Oscar G. Harper
5,May,Texas,Terry County,4.7,Benjamin Franklin Terry
6,May,Kansas,Russell County,3.8,William Russell
7,November,West Virginia,Tucker County,5.7,"Henry St. George Tucker, Sr."
8,January,California,Humboldt County,6.7,Alexander von Humboldt
9,September,Minnesota,Chisago County,3.4,Chisago Lake
10,March,Indiana,Steuben County,4.5,Friedrich Wilhelm von Steuben
11,February,Missouri,Cape Girardeau County,4.8,Jean Baptiste de Girardot
12,July,Michigan,Cass County,5.8,Lewis Cass
13,September,Illinois,Clinton County,4.2,George Clinton
14,December,New York,Greene County,5.4,Nathanael Greene
15,July,Ohio,Montgomery County,5.1,Richard Montgomery
16,December,Oklahoma,Grant County,2.8,Ulysses S. Grant
17,October,Missouri,Macon County,4,Nathaniel Macon
18,November,Kansas,Mitchell County,2.5,Elisha Mitchell
19,June,Montana,Carbon County,3.5,coal
20,March,North Carolina,Davie County,4.8,William Richardson Davie
21,February,Virginia,Franklin City,7.3,
22,September,Indiana,Martin County,3.6,Morgan Lewis Martin
23,March,Tennessee,White County,6.7,Hugh Lawson White
24,October,Minnesota,Stevens County,2,Isaac Stevens
25,September,Texas,Lampasas County,4.3,Lampasas River
26,February,Louisiana,Jefferson Parish,6,Thomas Jefferson
27,December,South Dakota,Meade County,3.2,George Meade
28,November,California,Lassen County,6.9,Peter Lassen
29,May,Missouri,Gentry County,4.4,Richard Gentry
30,February,Mississippi,Webster County,7,Daniel Webster
31,November,Ohio,Lucas County,4.9,Robert Lucas
32,January,Missouri,Ralls County,5.1,Daniel Ralls
33,July,Louisiana,Caddo Parish,7.5,Caddo
34,August,Indiana,Carroll County,4.1,Charles Carroll
35,March,Kansas,Ellis County,3.3,Richard Ellis
36,May,Kentucky,Marion County,5.1,Francis Marion
37,October,New York,New York County,4.4,
38,November,Illinois,Jo Daviess County,6,Joseph Hamilton Daveiss
39,May,Iowa,Floyd County,3.4,John Floyd
40,July,Arkansas,Randolph County,7.5,Edmund Randolph
41,October,Alabama,Randolph County,5.3,Edmund Randolph
42,November,Kansas,Sedgwick County,4.1,John Sedgwick
43,April,Alabama,Pike County,5.7,Zebulon Pike
44,January,Minnesota,Isanti County,5.9,
45,June,West Virginia,Summers County,6.9,George W. Summers
46,February,Illinois,Whiteside County,6.6,Samuel Whiteside
47,December,Minnesota,Kanabec County,8.1,
48,December,Arkansas,Sebastian County,4.6,
49,July,Texas,Kerr County,4,James Kerr
50,December,Mississippi,Panola County,9,cotton
51,January,North Carolina,Davidson County,5.7,William Lee Davidson
52,December,New York,Dutchess County,4,Mary of Modena
53,October,Virginia,Fairfax County,3.3,Thomas Fairfax
54,April,Colorado,Baca County,2.3,
55,January,Ohio,Greene County,5.4,Nathanael Greene
56,December,Maryland,Carroll County,3.6,Charles Carroll
57,April,Kentucky,Russell County,10.5,William Russell
58,July,Oklahoma,Oklahoma County,3.9,Oklahoma
59,April,Missouri,Ripley County,8.1,Eleazer Wheelock Ripley
60,October,Virginia,Gloucester County,3.7,Gloucester
61,May,Tennessee,Wilson County,4.8,David Wilson
62,September,Texas,Val Verde County,6.1,Battle of Valverde
63,July,Colorado,El Paso County,4.7,Ute Pass
64,February,Texas,Knox County,3.3,Henry Knox
65,April,Illinois,Warren County,4.3,Joseph Warren
66,May,Oklahoma,Logan County,3.9,Logan
67,April,Nevada,Nye County,8.9,James W. Nye
68,May,Kentucky,Jessamine County,4.4,Jessamine Creek
69,May,Virginia,King George County,4.9,George I of Great Britain
70,February,Minnesota,Yellow Medicine County,5.2,Yellow Medicine River
71,October,Tennessee,Cannon County,5.3,Newton Cannon
72,February,Utah,Kane County,6.7,Thomas L. Kane
73,February,North Dakota,Nelson County,5.4,Thomas Nelson
74,July,North Carolina,Clay County,6.7,Henry Clay
75,March,Utah,Uintah County,6.3,Ute people
76,April,Virginia,Halifax County,6.1,"George Montagu-Dunk, 2nd Earl of Halifax"
77,March,New Mexico,Chaves County,6.2,José Francisco Chaves
78,May,Kentucky,Bracken County,6.2,William Bracken
79,February,Texas,Williamson County,3.6,Hugh Williamson
80,September,Iowa,Henry County,3.6,Patrick Henry
81,February,Mississippi,Itawamba County,5.8,Levi Colbert
82,April,Texas,Archer County,4.1,Branch T. Archer
83,March,Maryland,Frederick County,4.7,"Frederick Calvert, 6th Baron Baltimore"
84,October,Arizona,Apache County,12.4,Apache
85,June,Indiana,Johnson County,4.1,
86,October,Minnesota,Red Lake County,3.6,Red Lake
87,October,Missouri,McDonald County,3.6,Alexander McDonald
88,December,Vermont,Addison County,3.2,Joseph Addison
89,November,Wisconsin,Florence County,6.8,
90,August,Arkansas,Yell County,5.2,Archibald Yell
91,November,Nebraska,Logan County,3.5,Logan
92,October,Kansas,Stanton County,2.5,Edwin M. Stanton
93,December,Minnesota,Lyon County,3.6,Nathaniel Lyon
94,October,Arkansas,Poinsett County,4.6,
95,October,Washington,Yakima County,6.2,Yakama Nation
96,December,Ohio,Athens County,5.7,Athens
97,April,Iowa,Pocahontas County,2.8,Pocahontas
98,November,Texas,Uvalde County,5.3,
99,June,Iowa,Bremer County,3.6,Fredrika Bremer
100,February,Nebraska,Deuel County,2.7,
101,June,Texas,Polk County,6.4,James K. Polk
