d3mIndex,Month,State,County,Rate,State - area,County - area,State - coordinate location
0,September,Missouri,Montgomery County,4.2,181533,1313,Point(-92.5 38.5)
1,February,New York,Ontario County,6,1214,1716,Point(-73.94 40.67)
2,November,Virginia,Winchester City,3.8,110862,8430,Point(-79.0 37.5)
3,June,Colorado,Washington County,2.8,269837,2696,Point(-105.5 39.0)
4,April,Kansas,Harper County,4.7,213100,2308,Point(-98.0 38.5)
5,May,Texas,Terry County,4.7,696241,1235,Point(-100.0 31.0)
6,May,Kansas,Russell County,3.8,213100,1091,Point(-98.0 38.5)
7,November,West Virginia,Tucker County,5.7,62755,10495,Point(-80.5 39.0)
8,January,California,Humboldt County,6.7,423970,1146,Point(-120.0 37.0)
9,September,Minnesota,Chisago County,3.4,225163,3637,Point(-94.0 46.0)
10,March,Indiana,Steuben County,4.5,94321,1518,Point(-86.216666666 39.933333333)
11,February,Missouri,Cape Girardeau County,4.8,181533,6253,Point(-92.5 38.5)
12,July,Michigan,Cass County,5.8,250493,2895,Point(-85.58 44.34)
13,September,Illinois,Clinton County,4.2,149998,1616,Point(-89.0 40.0)
14,December,New York,Greene County,5.4,1214,1313,Point(-73.94 40.67)
15,July,Ohio,Montgomery County,5.1,116096,11731,Point(-82.5 40.5)
16,December,Oklahoma,Grant County,2.8,181195,1345,Point(-98.0 35.5)
17,October,Missouri,Macon County,4,181533,575,Point(-92.5 38.5)
18,November,Kansas,Mitchell County,2.5,213100,20627,Point(-98.0 38.5)
19,June,Montana,Carbon County,3.5,381154,691,Point(-110.0 47.0)
20,March,North Carolina,Davie County,4.8,139390,1890,Point(-80.0 35.5)
21,February,Virginia,Franklin City,7.3,110862,2700,Point(-79.0 37.5)
22,September,Indiana,Martin County,3.6,94321,6580,Point(-86.216666666 39.933333333)
23,March,Tennessee,White County,6.7,109247,1849,Point(-86.0 36.0)
24,October,Minnesota,Stevens County,2,225163,1663,Point(-94.0 46.0)
25,September,Texas,Lampasas County,4.3,696241,9020,Point(-100.0 31.0)
26,February,Louisiana,Jefferson Parish,6,135382,12226,Point(-92.0 31.0)
27,December,South Dakota,Meade County,3.2,199729,1274,Point(-100.0 44.5)
